,standard_names,month,year,Confirmed,Deaths,Recovered,Active,stringency_index,lat,lng
0,Afghanistan,1,2020,0.0,0.0,0.0,0.0,0.0,33.93911,67.709953
1,Afghanistan,2,2020,1.0,0.0,0.0,1.0,2.0106896551724143,33.93911,67.709953
2,Afghanistan,3,2020,174.0,4.0,5.0,165.0,40.831935483870936,33.93911,67.709953
3,Afghanistan,4,2020,1952.0,60.0,255.0,1637.0,80.74000000000005,33.93911,67.709953
4,Afghanistan,5,2020,13081.0,194.0,1068.0,11819.0,84.26000000000005,33.93911,67.709953
5,Afghanistan,6,2020,16299.0,494.0,12803.0,7472.0,80.18266666666666,33.93911,67.709953
6,Afghanistan,7,2020,5158.0,532.0,11378.0,961.0,78.69999999999997,33.93911,67.709953
7,Afghanistan,8,2020,1494.0,119.0,3580.0,509.0,55.40870967741937,33.93911,67.709953
8,Afghanistan,9,2020,1109.0,57.0,3700.0,383.0,23.52000000000001,33.93911,67.709953
9,Afghanistan,10,2020,2157.0,78.0,1532.0,1059.0,16.460322580645173,33.93911,67.709953
10,Afghanistan,11,2020,4849.0,257.0,2510.0,2915.0,7.5913333333333375,33.93911,67.709953
11,Afghanistan,12,2020,3347.0,235.0,1709.0,1570.0,,33.93911,67.709953
12,Albania,1,2020,0.0,0.0,0.0,0.0,0.0,41.153332,20.168331
13,Albania,2,2020,0.0,0.0,0.0,0.0,3.5451724137931038,41.153332,20.168331
14,Albania,3,2020,243.0,15.0,52.0,181.0,58.57096774193547,41.153332,20.168331
15,Albania,4,2020,530.0,16.0,418.0,173.0,86.66499999999998,41.153332,20.168331
16,Albania,5,2020,364.0,2.0,402.0,109.0,87.4216129032258,41.153332,20.168331
17,Albania,6,2020,1398.0,29.0,587.0,785.0,70.46599999999998,41.153332,20.168331
18,Albania,7,2020,2741.0,95.0,1493.0,1194.0,63.856774193548404,41.153332,20.168331
19,Albania,8,2020,4237.0,127.0,2262.0,1919.0,58.12548387096777,41.153332,20.168331
20,Albania,9,2020,4136.0,103.0,2633.0,1739.0,54.63000000000004,41.153332,20.168331
21,Albania,10,2020,7226.0,122.0,3342.0,3998.0,54.630000000000045,41.153332,20.168331
22,Albania,11,2020,17307.0,301.0,7660.0,9346.0,60.30966666666667,41.153332,20.168331
23,Albania,12,2020,13822.0,256.0,8577.0,5248.0,65.74,41.153332,20.168331
24,Algeria,1,2020,0.0,0.0,0.0,0.0,0.0,28.033886,1.6596259999999998
25,Algeria,2,2020,1.0,0.0,0.0,1.0,0.0,28.033886,1.6596259999999998
26,Algeria,3,2020,715.0,44.0,123.0,644.0,37.48612903225806,28.033886,1.6596259999999998
27,Algeria,4,2020,3290.0,406.0,1733.0,1440.0,86.15533333333332,28.033886,1.6596259999999998
28,Algeria,5,2020,5388.0,203.0,4006.0,1633.0,77.56677419354834,28.033886,1.6596259999999998
29,Algeria,6,2020,4513.0,259.0,4149.0,728.0,70.55433333333333,28.033886,1.6596259999999998
30,Algeria,7,2020,16487.0,298.0,10640.0,6092.0,72.54838709677419,28.033886,1.6596259999999998
31,Algeria,8,2020,14100.0,300.0,10707.0,3093.0,79.98903225806457,28.033886,1.6596259999999998
32,Algeria,9,2020,7036.0,226.0,4930.0,1880.0,75.93000000000002,28.033886,1.6596259999999998
33,Algeria,10,2020,6412.0,228.0,4027.0,2315.0,75.63000000000002,28.033886,1.6596259999999998
34,Algeria,11,2020,25257.0,467.0,13608.0,11342.0,71.69733333333333,28.033886,1.6596259999999998
35,Algeria,12,2020,11172.0,216.0,8678.0,2712.0,72.22000000000001,28.033886,1.6596259999999998
36,Andorra,1,2020,0.0,0.0,0.0,0.0,0.0,42.506285,1.521801
37,Andorra,2,2020,0.0,0.0,0.0,0.0,0.0,42.506285,1.521801
38,Andorra,3,2020,376.0,12.0,11.0,356.0,21.624838709677416,42.506285,1.521801
39,Andorra,4,2020,369.0,30.0,458.0,176.0,53.17966666666666,42.506285,1.521801
40,Andorra,5,2020,19.0,9.0,226.0,0.0,50.89677419354838,42.506285,1.521801
41,Andorra,6,2020,91.0,1.0,105.0,49.0,42.836999999999996,42.506285,1.521801
42,Andorra,7,2020,70.0,0.0,8.0,66.0,42.50225806451611,42.506285,1.521801
43,Andorra,8,2020,251.0,1.0,101.0,156.0,45.36999999999997,42.506285,1.521801
44,Andorra,9,2020,874.0,0.0,524.0,529.0,48.14666666666668,42.506285,1.521801
45,Andorra,10,2020,2706.0,22.0,2043.0,841.0,57.4051612903226,42.506285,1.521801
46,Andorra,11,2020,1989.0,1.0,2398.0,283.0,62.22000000000001,42.506285,1.521801
47,Andorra,12,2020,774.0,4.0,1046.0,90.0,59.26,42.506285,1.521801
48,Angola,1,2020,0.0,0.0,0.0,0.0,0.0,-11.202691999999999,17.873887
49,Angola,2,2020,0.0,0.0,0.0,0.0,4.601379310344829,-11.202691999999999,17.873887
50,Angola,3,2020,7.0,2.0,1.0,5.0,24.4,-11.202691999999999,17.873887
51,Angola,4,2020,20.0,0.0,6.0,18.0,87.5293333333333,-11.202691999999999,17.873887
52,Angola,5,2020,59.0,2.0,11.0,54.0,78.52483870967747,-11.202691999999999,17.873887
53,Angola,6,2020,198.0,9.0,75.0,151.0,76.3616666666667,-11.202691999999999,17.873887
54,Angola,7,2020,864.0,39.0,344.0,596.0,76.45064516129034,-11.202691999999999,17.873887
55,Angola,8,2020,1506.0,56.0,941.0,1233.0,78.18354838709679,-11.202691999999999,17.873887
56,Angola,9,2020,2318.0,75.0,870.0,1485.0,78.01,-11.202691999999999,17.873887
57,Angola,10,2020,5833.0,104.0,2582.0,3654.0,69.8048387096774,-11.202691999999999,17.873887
58,Angola,11,2020,4334.0,64.0,3328.0,1833.0,59.21700000000003,-11.202691999999999,17.873887
59,Angola,12,2020,1423.0,36.0,1494.0,375.0,57.41,-11.202691999999999,17.873887
60,Argentina,1,2020,0.0,0.0,0.0,0.0,3.2254838709677416,-38.416097,-63.61667199999999
61,Argentina,2,2020,0.0,0.0,0.0,0.0,11.110000000000007,-38.416097,-63.61667199999999
62,Argentina,3,2020,1054.0,27.0,240.0,874.0,51.702580645161284,-38.416097,-63.61667199999999
63,Argentina,4,2020,3374.0,191.0,1016.0,2268.0,98.45699999999998,-38.416097,-63.61667199999999
64,Argentina,5,2020,12423.0,321.0,4080.0,8120.0,90.26258064516122,-38.416097,-63.61667199999999
65,Argentina,6,2020,47679.0,768.0,16692.0,30995.0,89.13666666666668,-38.416097,-63.61667199999999
66,Argentina,7,2020,126772.0,2236.0,61752.0,65637.0,91.5154838709677,-38.416097,-63.61667199999999
67,Argentina,8,2020,226433.0,5117.0,217415.0,73463.0,88.2593548387097,-38.416097,-63.61667199999999
68,Argentina,9,2020,333266.0,8277.0,293450.0,54518.0,87.96000000000002,-38.416097,-63.61667199999999
69,Argentina,10,2020,415923.0,14065.0,379294.0,62408.0,83.95870967741935,-38.416097,-63.61667199999999
70,Argentina,11,2020,257609.0,7728.0,283288.0,23217.0,79.63166666666669,-38.416097,-63.61667199999999
71,Argentina,12,2020,106841.0,2942.0,99528.0,16480.0,79.16999999999999,-38.416097,-63.61667199999999
72,Australia,1,2020,9.0,0.0,2.0,7.0,2.508709677419355,-25.274398,133.775136
73,Australia,2,2020,16.0,0.0,9.0,16.0,19.440000000000005,-25.274398,133.775136
74,Australia,3,2020,4534.0,18.0,347.0,4176.0,38.20032258064516,-25.274398,133.775136
75,Australia,4,2020,2207.0,75.0,5384.0,1097.0,71.48066666666669,-25.274398,133.775136
76,Australia,5,2020,436.0,10.0,879.0,39.0,67.35225806451615,-25.274398,133.775136
77,Australia,6,2020,718.0,2.0,422.0,412.0,55.01433333333333,-25.274398,133.775136
78,Australia,7,2020,9360.0,146.0,2949.0,6356.0,69.81935483870967,-25.274398,133.775136
79,Australia,8,2020,8539.0,456.0,11367.0,2793.0,78.21322580645163,-25.274398,133.775136
80,Australia,9,2020,1277.0,231.0,3434.0,159.0,74.72000000000001,-25.274398,133.775136
81,Australia,10,2020,499.0,19.0,552.0,158.0,64.23548387096771,-25.274398,133.775136
82,Australia,11,2020,317.0,1.0,266.0,149.0,49.98199999999999,-25.274398,133.775136
83,Australia,12,2020,214.0,0.0,98.0,129.0,,-25.274398,133.775136
84,Austria,1,2020,0.0,0.0,0.0,0.0,0.0,47.516231,14.550072
85,Austria,2,2020,9.0,0.0,0.0,9.0,2.2986206896551717,47.516231,14.550072
86,Austria,3,2020,10171.0,128.0,1100.0,8948.0,52.92612903225808,47.516231,14.550072
87,Austria,4,2020,5272.0,456.0,11812.0,377.0,78.642,47.516231,14.550072
88,Austria,5,2020,1279.0,84.0,2686.0,62.0,60.60193548387097,47.516231,14.550072
89,Austria,6,2020,1035.0,37.0,885.0,294.0,47.74466666666669,47.516231,14.550072
90,Austria,7,2020,3364.0,14.0,2280.0,1166.0,38.682580645161316,47.516231,14.550072
91,Austria,8,2020,6308.0,15.0,4468.0,2267.0,35.190000000000026,47.516231,14.550072
92,Austria,9,2020,17375.0,66.0,12418.0,5615.0,36.63733333333332,47.516231,14.550072
93,Austria,10,2020,60112.0,311.0,31582.0,28243.0,51.16548387096772,47.516231,14.550072
94,Austria,11,2020,177531.0,2075.0,154466.0,42242.0,78.11833333333334,47.516231,14.550072
95,Austria,12,2020,52457.0,1943.0,75732.0,0.0,,47.516231,14.550072
96,Azerbaijan,1,2020,0.0,0.0,0.0,0.0,0.17935483870967742,40.143105,47.576927000000005
97,Azerbaijan,2,2020,0.0,0.0,0.0,0.0,4.120689655172415,40.143105,47.576927000000005
98,Azerbaijan,3,2020,298.0,5.0,27.0,270.0,49.76225806451613,40.143105,47.576927000000005
99,Azerbaijan,4,2020,1506.0,19.0,1299.0,604.0,89.78533333333338,40.143105,47.576927000000005
100,Azerbaijan,5,2020,3690.0,39.0,2103.0,1613.0,82.55838709677425,40.143105,47.576927000000005
101,Azerbaijan,6,2020,12030.0,150.0,6287.0,5593.0,85.74333333333334,40.143105,47.576927000000005
102,Azerbaijan,7,2020,14354.0,235.0,16167.0,1080.0,95.94129032258066,40.143105,47.576927000000005
103,Azerbaijan,8,2020,4557.0,86.0,7965.0,348.0,87.60838709677421,40.143105,47.576927000000005
104,Azerbaijan,9,2020,3794.0,57.0,4107.0,122.0,77.19233333333331,40.143105,47.576927000000005
105,Azerbaijan,10,2020,15040.0,139.0,5589.0,9397.0,66.76935483870967,40.143105,47.576927000000005
106,Azerbaijan,11,2020,65907.0,662.0,31359.0,33886.0,66.01800000000001,40.143105,47.576927000000005
107,Azerbaijan,12,2020,74246.0,741.0,56350.0,17545.0,72.133,40.143105,47.576927000000005
108,Bahrain,1,2020,0.0,0.0,0.0,0.0,3.1354838709677417,26.0667,50.5577
109,Bahrain,2,2020,41.0,0.0,0.0,41.0,17.52896551724138,26.0667,50.5577
110,Bahrain,3,2020,526.0,4.0,295.0,328.0,49.19548387096776,26.0667,50.5577
111,Bahrain,4,2020,2473.0,4.0,1205.0,1574.0,75.98666666666666,26.0667,50.5577
112,Bahrain,5,2020,8358.0,11.0,5173.0,3881.0,75.0,26.0667,50.5577
113,Bahrain,6,2020,15360.0,68.0,14658.0,2377.0,75.0,26.0667,50.5577
114,Bahrain,7,2020,14224.0,60.0,16509.0,501.0,70.51612903225809,26.0667,50.5577
115,Bahrain,8,2020,10990.0,43.0,11207.0,1043.0,66.7545161290323,26.0667,50.5577
116,Bahrain,9,2020,18892.0,61.0,15791.0,4278.0,61.79300000000005,26.0667,50.5577
117,Bahrain,10,2020,10781.0,70.0,13881.0,673.0,63.53129032258067,26.0667,50.5577
118,Bahrain,11,2020,5311.0,20.0,6422.0,52.0,58.329999999999984,26.0667,50.5577
119,Bahrain,12,2020,2927.0,8.0,2862.0,273.0,58.33000000000001,26.0667,50.5577
120,Bangladesh,1,2020,0.0,0.0,0.0,0.0,3.583870967741935,23.684994,90.35633100000001
121,Bangladesh,2,2020,0.0,0.0,0.0,0.0,13.889999999999993,23.684994,90.35633100000001
122,Bangladesh,3,2020,51.0,5.0,25.0,35.0,44.41516129032258,23.684994,90.35633100000001
123,Bangladesh,4,2020,7616.0,163.0,135.0,7318.0,91.48333333333332,23.684994,90.35633100000001
124,Bangladesh,5,2020,39486.0,482.0,9621.0,29606.0,90.61935483870964,23.684994,90.35633100000001
125,Bangladesh,6,2020,98330.0,1197.0,49843.0,61014.0,68.75,23.684994,90.35633100000001
126,Bangladesh,7,2020,92178.0,1264.0,75512.0,22914.0,77.40451612903225,23.684994,90.35633100000001
127,Bangladesh,8,2020,75335.0,1170.0,69751.0,16524.0,80.09,23.684994,90.35633100000001
128,Bangladesh,9,2020,50483.0,970.0,70600.0,254.0,80.08999999999997,23.684994,90.35633100000001
129,Bangladesh,10,2020,44205.0,672.0,48658.0,438.0,80.09,23.684994,90.35633100000001
130,Bangladesh,11,2020,57248.0,721.0,56566.0,2909.0,80.08999999999997,23.684994,90.35633100000001
131,Bangladesh,12,2020,33361.0,573.0,52903.0,0.0,80.09000000000002,23.684994,90.35633100000001
132,Barbados,1,2020,0.0,0.0,0.0,0.0,3.583870967741935,13.193887,-59.543198
133,Barbados,2,2020,0.0,0.0,0.0,0.0,12.547931034482751,13.193887,-59.543198
134,Barbados,3,2020,34.0,0.0,0.0,34.0,34.79870967741935,13.193887,-59.543198
135,Barbados,4,2020,47.0,7.0,39.0,33.0,86.914,13.193887,-59.543198
136,Barbados,5,2020,11.0,0.0,37.0,8.0,82.19709677419354,13.193887,-59.543198
137,Barbados,6,2020,5.0,0.0,14.0,3.0,71.4206666666667,13.193887,-59.543198
138,Barbados,7,2020,13.0,0.0,6.0,13.0,53.28677419354837,13.193887,-59.543198
139,Barbados,8,2020,64.0,0.0,50.0,40.0,44.684838709677436,13.193887,-59.543198
140,Barbados,9,2020,16.0,0.0,33.0,7.0,37.65666666666667,13.193887,-59.543198
141,Barbados,10,2020,47.0,0.0,42.0,22.0,32.14,13.193887,-59.543198
142,Barbados,11,2020,39.0,0.0,29.0,19.0,40.74,13.193887,-59.543198
